"total distance of drones";"distance per drone";"tick"
6424.587877506289;803.0734846882862;837.0
6434.172229626258;804.2715287032822;839.0
6443.80385719511;805.4754821493888;841.0
6453.314628427132;806.6643285533916;843.0
6463.307553327165;807.9134441658956;845.0
6473.943552182122;809.2429440227653;847.0
6485.168570157648;810.646071269706;849.0
6496.8974398271685;812.1121799783961;851.0
6508.069081758439;813.5086352198049;853.0
6519.78575037832;814.97321879729;855.0
6531.219538047849;816.4024422559811;857.0
6542.890025716373;817.8612532145467;859.0
6554.341337672581;819.2926672090726;861.0
6566.186210922475;820.7732763653094;863.0
6578.9668820684155;822.3708602585519;865.0
6592.404603964986;824.0505754956232;867.0
6606.53222246263;825.8165278078287;869.0
6620.9392837753985;827.6174104719248;871.0
6635.578482708139;829.4473103385174;873.0
6650.079215624031;831.2599019530039;875.0
6664.781953119516;833.0977441399396;877.0
6678.996537377877;834.8745671722346;879.0
6693.371725741399;836.6714657176749;881.0
6707.1942052601335;838.3992756575167;883.0
6721.046496671559;840.1308120839449;885.0
6734.4646147590765;841.8080768448846;887.0
6747.456207794818;843.4320259743522;889.0
6760.117402953509;845.0146753691886;891.0
6772.863946331366;846.6079932914207;893.0
6785.715938522964;848.2144923153705;895.0
6798.511698955443;849.8139623694303;897.0
6811.79911898062;851.4748898725775;899.0
6824.567715690525;853.0709644613156;901.0
6837.101694218844;854.6377117773555;903.0
6849.890665417706;856.2363331772133;905.0
6861.97480097205;857.7468501215062;907.0
6874.471899421402;859.3089874276752;909.0
6886.893290301534;860.8616612876917;911.0
6899.782357482821;862.4727946853526;913.0
6913.441333682904;864.180166710363;915.0
6927.861097523851;865.9826371904813;917.0
6942.945125265117;867.8681406581396;919.0
6958.564957007425;869.8206196259281;921.0
6974.584475606709;871.8230594508386;923.0
6990.869574079755;873.8586967599693;925.0
7006.9978114794285;875.8747264349286;927.0
7022.950825658617;877.8688532073271;929.0
7038.413995460494;879.8017494325618;931.0
7052.807998170978;881.6009997713722;933.0
7066.558675858627;883.3198344823284;935.0
7079.412051766762;884.9265064708452;937.0
7091.716045856614;886.4645057320768;939.0
7103.5429278902375;887.9428659862797;941.0
7115.728352218131;889.4660440272663;943.0
7127.419512973861;890.9274391217326;945.0
7139.408216466527;892.4260270583159;947.0
7151.031790482939;893.8789738103674;949.0
7162.385637906028;895.2982047382535;951.0
7173.377457060251;896.6721821325314;953.0
7183.9718567433;897.9964820929125;955.0
7194.503441808391;899.3129302260488;957.0
7204.780933843347;900.5976167304184;959.0
7214.179850440364;901.7724813050455;961.0
7222.843971165841;902.8554963957301;963.0
7231.826101184337;903.9782626480421;965.0
7240.29422883695;905.0367786046188;967.0
7247.708510448511;905.9635638060639;969.0
7254.599248019198;906.8249060023998;971.0
7261.234988434404;907.6543735543005;973.0
7269.147074374557;908.6433842968196;975.0
7278.8968102619165;909.8621012827396;977.0
7290.0104983765095;911.2513122970637;979.0
7302.586372361396;912.8232965451745;981.0
7316.101532785443;914.5126915981804;983.0
7329.604971397115;916.2006214246394;985.0
7343.416241133081;917.9270301416351;987.0
7358.154675907015;919.7693344883769;989.0
7372.957204509323;921.6196505636653;991.0
7388.134944102405;923.5168680128006;993.0
7403.75477190872;925.46934648859;995.0
7419.465568040408;927.433196005051;997.0
7435.539368305623;929.4424210382028;999.0
7451.885356501512;931.485669562689;1001.0
7468.4135122542575;933.5516890317822;1003.0
7485.039176561301;935.6298970701627;1005.0
7501.693932150849;937.7117415188561;1007.0
7518.181065952534;939.7726332440667;1009.0
7534.577975242711;941.8222469053388;1011.0
7550.575762513354;943.8219703141692;1013.0
7566.8714397826825;945.8589299728353;1015.0
7583.4360906400325;947.9295113300041;1017.0
7600.362953794351;950.0453692242938;1019.0
7617.210273690838;952.1512842113548;1021.0
7634.357266724073;954.2946583405092;1023.0
7651.134819413971;956.3918524267464;1025.0
7667.092564721423;958.3865705901778;1027.0
7682.703085486478;960.3378856858097;1029.0
7697.710741630187;962.2138427037734;1031.0
7711.709878141899;963.9637347677374;1033.0
7724.722733205389;965.5903416506736;1035.0
7737.4708518696925;967.1838564837116;1037.0
7749.32350001914;968.6654375023925;1039.0
7760.621409377627;970.0776761722034;1041.0
7771.018919448637;971.3773649310796;1043.0
7780.508646750983;972.5635808438728;1045.0
7789.319239639254;973.6649049549068;1047.0
7797.5699502291045;974.6962437786381;1049.0
7805.679574053337;975.7099467566671;1051.0
7813.781880810452;976.7227351013065;1053.0
7821.426950595765;977.6783688244707;1055.0
7828.812211594803;978.6015264493503;1057.0
7836.860999986289;979.6076249982862;1059.0
7844.852421590869;980.6065526988586;1061.0
7853.105152629287;981.6381440786608;1063.0
7861.753054991568;982.719131873946;1065.0
7870.402545695737;983.8003182119671;1067.0
7879.537035406911;984.9421294258639;1069.0
7890.019432401134;986.2524290501417;1071.0
7902.11379976197;987.7642249702462;1073.0
7915.94822652671;989.4935283158387;1075.0
7931.60566494811;991.4507081185137;1077.0
7948.975445399243;993.6219306749053;1079.0
7967.620448753236;995.9525560941545;1081.0
7987.393475313573;998.4241844141966;1083.0
8007.768840893279;1000.9711051116599;1085.0
8028.617308354975;1003.5771635443718;1087.0
8049.81806329873;1006.2272579123412;1089.0
8071.268177084072;1008.908522135509;1091.0
